"id","createdAt","inReplyToScreenName","inReplyToStatusId","inReplyToUserId","retweetCount","source","text"
"803614549794574340","Tue Nov 29 10:00:13 EST 2016",,"-1","-1","14","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Texas reports its first possible case of locally transmitted Zika infection on Monday: https://t.co/dK2rLN6rbw https://t.co/8lbO9rMsaA"
"803599493341986816","Tue Nov 29 09:00:24 EST 2016",,"-1","-1","39","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Skip the juice and go straight for the fruit -- processing juice costs nutrients and can add hidden sugar.… https://t.co/BxUYxIcS1K"
"803478649102094336","Tue Nov 29 01:00:12 EST 2016",,"-1","-1","51","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","The flu is more common in winter because people spend more time w/ each other, so the virus spreads more easily:… https://t.co/HNEUnBIcw1"
"803463269604356096","Mon Nov 28 23:59:05 EST 2016",,"-1","-1","23","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","You'll find iron in some unexpected places. Give yourself an extra helping by pouring maple syrup over pancakes:… https://t.co/Ieps6W6KVG"
"803456211819577344","Mon Nov 28 23:31:03 EST 2016",,"-1","-1","40","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Is it a common sore throat or strep? Know the warning signs that you might have strep: https://t.co/FQBRlHrTPy https://t.co/aAYwfGVFnR"
"803440892761829376","Mon Nov 28 22:30:10 EST 2016",,"-1","-1","13","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Is your hair trying to tell you something about your health? https://t.co/d2vpFcb1vz https://t.co/3OYH1af9R0"
"803425813274230784","Mon Nov 28 21:30:15 EST 2016",,"-1","-1","22","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Toss the mayo and opt for a tablespoon of Dijon mustard instead. The healthy swap will save you nearly 100 calories… https://t.co/oncsmnVjHV"
"803410722248134656","Mon Nov 28 20:30:17 EST 2016",,"-1","-1","16","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Emma Morano, the world's oldest person, turns 117 tomorrow. How can you increase your chances of a long life?… https://t.co/7QBv22r4zk"
"803388097962643456","Mon Nov 28 19:00:23 EST 2016",,"-1","-1","29","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Have a digestive problem? These health supplements may help bring you relief: https://t.co/BJVcOxDySB https://t.co/UxB70Shhvv"
"803372959146643456","Mon Nov 28 18:00:14 EST 2016",,"-1","-1","29","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A tell-tale sign of lupus is a butterfly-shaped rash across the cheeks and bridge of the nose.… https://t.co/JLk3J8yO6n"
"803327630556676097","Mon Nov 28 15:00:06 EST 2016",,"-1","-1","9","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Are you holiday shopping on #CyberMonday? Experts urge you to consider eye safety when picking out gifts for kids:… https://t.co/nIWZSqlPkq"
"803305001472950272","Mon Nov 28 13:30:11 EST 2016",,"-1","-1","34","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","New study: People born during Generation X have a 43% higher rate of stroke than those born in the Golden Generatio… https://t.co/0ya5RuiUbS"
"803267490465902593","Mon Nov 28 11:01:08 EST 2016",,"-1","-1","15","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Florence Henderson passed away Thursday from heart failure. What you need to know about the condition:… https://t.co/IWU9EgXcQt"
